1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Schluessel;Straftat;Anzahl erfasste Faelle insgesamt;Anzahl Faelle vollendet;Anzahl Faelle versucht;Schadensklassen 1 bis unter 15 Euro;Schadensklassen 15 bis unter 50 Euro;Schadensklassen 50 bis unter 250 Euro;Schadensklassen 250 bis unter 500 Euro;Schadensklassen 500 bis unter 2500 Euro;Schadensklassen 2500 bis unter 5000 Euro;Schadensklassen 5000 bis unter 25000 Euro;Schadensklassen 25000 bis unter 50000 Euro;Schadensklassen 500000 Euro und mehr;Schadenssumme in Euro;Anzahl Faelle mit 1 Euro Schaden;Faelle mit 1 Euro Schaden Anteil in %
------;Straftaten insgesamt;66,014;63,382;2,632;6,549;441;1,648;1,272;37,608;2,380;8,069;1,734;3,681;2,083,463,944;6,372;97.3
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB;53,693;51,092;2,601;2,232;379;1,366;990;35,982;1,384;5,975;996;1,788;887,120,872;2,101;94.1
511000;Waren- und Warenkreditbetrug;1,752;1,639;113;94;106;510;310;319;63;146;32;59;38,538,513;79;84
511100;Betrügerisches Erlangen von Kfz §§ 263, 263a StGB;17;15;2;2;0;0;0;1;0;1;5;6;1,571,079;1;50
511110;Betrügerisches Erlangen von Kfz § 263 StGB;15;13;2;1;0;0;0;1;0;0;5;6;1,566,073;1;100
511120;Betrügerisches Erlangen von Kfz § 263a StGB;2;2;0;1;0;0;0;0;0;1;0;0;5,006;0;0
511200;Sonstiger Warenkreditbetrug;646;595;51;49;58;183;70;95;21;78;12;29;31,112,807;38;77.6
511201;Tankbetrug;86;85;1;7;27;50;1;0;0;0;0;0;5,404;5;71.4
511210;Weitere Arten des Warenkreditbetruges §§ 263, 263a StGB;560;510;50;42;31;133;69;95;21;78;12;29;31,107,403;33;78.6
511211;Weitere Arten des Warenkreditbetruges § 263 StGB;424;396;28;36;25;86;46;69;19;77;12;26;30,570,710;28;77.8
511212;Weitere Arten des Warenkreditbetruges § 263a StGB;136;114;22;6;6;47;23;26;2;1;0;3;536,693;5;83.3
511300;Warenbetrug;1,089;1,029;60;43;48;327;240;223;42;67;15;24;5,854,627;40;93
513000;Kapitalanlage- und Anlagebetrug;2,983;2,880;103;167;2;33;190;318;276;1,038;335;521;185,795,580;166;99.4
513200;Anlagebetrug § 263 StGB;2,983;2,880;103;167;2;33;190;318;276;1,038;335;521;185,795,580;166;99.4
514000;Geldkreditbetrug;4,869;4,848;21;801;6;13;17;334;577;2,079;365;656;224,835,172;790;98.6
514200;Subventionsbetrug § 264 StGB;4,732;4,732;0;786;6;12;15;327;574;2,057;354;601;190,932,152;776;98.7
514300;Krediterlangungsbetrug § 263 StGB;137;116;21;15;0;1;2;7;3;22;11;55;33,903,020;14;93.3
516000;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter unbarer Zahlungsmittel;394;357;37;40;27;98;39;108;20;22;2;1;1,284,819;24;60
516200;Betrug mittels rechtswidrig erlangter Zahlungskarten ohne PIN (Lastschriftverfahren);37;35;2;5;8;14;1;3;0;4;0;0;50,062;1;20
516300;Computerbetrug mittels rechtswidrig erlangter Zahlungskarten mit PIN § 263a StGB;90;84;6;3;3;16;15;39;5;3;0;0;102,150;3;100
516500;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten §§ 263, 263a StGB;197;178;19;25;13;50;14;49;13;12;2;0;307,166;16;64
516510;Betrug mittels rechtswidrig erlangter Daten von Zahlungskarten § 263 StGB;72;63;9;5;4;18;5;21;4;5;1;0;119,106;1;20
516520;Computerbetrug mittels rechtswidrig erlangter Daten von Zahlungskarten § 263a StGB;125;115;10;20;9;32;9;28;9;7;1;0;188,060;15;75
516900;Betrug bzw. Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel §§ 263, 263a StGB;70;60;10;7;3;18;9;17;2;3;0;1;825,441;4;57.1
516910;Betrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263 StGB;26;21;5;3;1;7;1;7;1;0;0;1;770,371;2;66.7
516920;Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263a StGB;44;39;5;4;2;11;8;10;1;3;0;0;55,070;2;50
517000;Sonstiger Betrug;43,695;41,368;2,327;1,130;238;712;434;34,903;448;2,690;262;551;436,666,788;1,042;92.2
517100;Leistungsbetrug;34,150;34,123;27;29;7;26;39;33,856;45;64;19;38;45,017,776;28;96.6
517200;Leistungskreditbetrug §§ 263, 263a StGB;217;208;9;8;7;33;17;61;19;42;16;5;2,477,604;7;87.5
517210;Leistungskreditbetrug § 263 StGB;196;190;6;8;4;25;17;54;19;42;16;5;2,467,881;7;87.5
517220;Leistungskreditbetrug § 263a StGB;21;18;3;0;3;8;0;7;0;0;0;0;9,723;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;85;77;8;6;0;1;2;6;1;25;23;13;3,017,271;6;100
517410;Betrug zum Nachteil von Versicherungen;84;76;8;5;0;1;2;6;1;25;23;13;3,017,270;5;100
517420;Versicherungsmissbrauch;1;1;0;1;0;0;0;0;0;0;0;0;1;1;100
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);558;393;165;29;15;29;18;91;41;149;12;9;3,880,388;25;86.2
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;555;392;163;28;15;29;18;91;41;149;12;9;3,880,387;24;85.7
517520;Vorbereitung des Computerbetruges § 263a Abs. 3 StGB;3;1;2;1;0;0;0;0;0;0;0;0;1;1;100
517600;Provisionsbetrug;22;22;0;8;0;2;0;3;0;4;2;3;466,327;8;100
517800;Sozialleistungsbetrug;132;128;4;27;0;3;8;28;22;31;3;6;1,933,853;27;100
517900;Missbräuchliche Nutzung von Telekommunikationsdiensten § 263a StGB;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
518100;Abrechnungsbetrug;2,826;2,724;102;562;179;452;116;336;112;736;70;161;78,186,744;509;90.6
518110;Abrechnungsbetrug im Gesundheitswesen §§ 263, 263a StGB;2,744;2,649;95;532;174;450;112;330;110;725;65;151;72,622,717;479;90
518111;Abrechnungsbetrug im Gesundheitswesen § 263 StGB;2,709;2,617;92;517;173;449;112;327;109;724;61;145;70,000,686;465;89.9
518112;Abrechnungsbetrug im Gesundheitswesen § 263a StGB;35;32;3;15;1;1;0;3;1;1;4;6;2,622,031;14;93.3
518179;Sonstiger Abrechnungsbetrug;82;75;7;30;5;2;4;6;2;11;5;10;5,564,027;30;100
518300;Überweisungsbetrug §§ 263, 263a StGB;531;123;408;12;2;8;21;39;16;16;3;6;944,411;10;83.3
518301;Überweisungsbetrug § 263 StGB;426;62;364;12;1;0;15;18;5;5;2;4;494,167;10;83.3
518302;Überweisungsbetrug § 263a StGB;105;61;44;0;1;8;6;21;11;11;1;2;450,244;0;0
518500;Sportwettbetrug und Manipulation von berufssportlichen Wettbewerben §§ 265c-e StGB;1;1;0;0;0;1;0;0;0;0;0;0;172;0;0
518510;Sportwettbetrug §§ 265c, 265e StGB;1;1;0;0;0;1;0;0;0;0;0;0;172;0;0
518520;Manipulation von berufssportlichen Wettbewerben §§ 265d, 265e StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
518800;Kreditvermittlungsbetrug § 263 StGB;16;15;1;0;0;2;1;3;1;4;0;4;3,151,996;0;0
518900;Sonstige weitere Betrugsarten;5,155;3,554;1,601;449;28;155;212;480;191;1,619;114;306;297,590,246;422;94
520000;Veruntreuungen §§ 266, 266a, 266b StGB;5,302;5,302;0;877;31;140;211;1,279;792;1,261;262;449;296,388,423;867;98.9
521000;Untreue § 266 StGB;1,341;1,341;0;559;3;8;7;85;50;206;101;322;243,286,187;558;99.8
521079;Sonstige Untreue;1,240;1,240;0;555;3;8;7;75;40;162;85;305;233,612,626;554;99.8
521100;Untreue bei Kapitalanlagegeschäften;101;101;0;4;0;0;0;10;10;44;16;17;9,673,561;4;100
522000;Vorenthalten und Veruntreuen von Arbeitsentgelt § 266a StGB;3,958;3,958;0;317;28;131;204;1,194;742;1,055;160;127;53,072,061;308;97.2
523000;Missbrauch von Scheck- und Kreditkarten § 266b StGB;3;3;0;1;0;1;0;0;0;0;1;0;30,175;1;100
530000;Unterschlagung §§ 246, 247, 248a StGB;225;224;1;48;9;28;10;40;13;33;12;31;10,540,995;41;85.4
530079;Unterschlagung sonstiger Güter/Sachen §§ 246, 247, 248a StGB - ohne von Kfz;191;191;0;45;9;28;10;38;10;23;5;23;8,900,670;38;84.4
531000;Unterschlagung von Kfz §§ 246, 247 StGB;34;33;1;3;0;0;0;2;3;10;7;8;1,640,325;3;100
560000;Insolvenzstraftaten §§ 283, 283a-d StGB;1,910;1,901;9;1,249;3;7;3;51;37;180;99;272;146,653,222;1,246;99.8
561000;Bankrott § 283 StGB;1,861;1,853;8;1,233;3;6;3;48;35;168;96;261;140,864,928;1,230;99.8
562000;Besonders schwerer Fall des Bankrotts § 283a StGB;3;3;0;1;0;0;0;0;0;0;0;2;1,479,152;1;100
564000;Gläubigerbegünstigung § 283c StGB;27;26;1;7;0;1;0;3;0;8;2;5;3,413,739;7;100
565000;Schuldnerbegünstigung § 283d StGB;19;19;0;8;0;0;0;0;2;4;1;4;895,403;8;100
712000;Straftaten nach AktG, GenG, GmbHG, HGB, RechnungslegungsG, UmwandlungsG, InsO;3,986;3,986;0;1,540;2;40;40;172;138;588;357;1,109;714,925,343;1,528;99.2
712010;Aktiengesetz;1;1;0;1;0;0;0;0;0;0;0;0;1;1;100
712020;Handelsgesetzbuch;23;23;0;14;0;1;0;0;1;1;3;3;1,445,936;14;100
712030;GmbH-Gesetz;108;108;0;72;0;0;1;4;0;15;14;2;1,167,414;72;100
712040;Genossenschaftsgesetz;1;1;0;1;0;0;0;0;0;0;0;0;1;1;100
712050;Rechnungslegungsgesetz;3;3;0;2;0;0;1;0;0;0;0;0;484;2;100
712060;Umwandlungsgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
712200;Insolvenzverschleppung § 15a InsO;3,850;3,850;0;1,450;2;39;38;168;137;572;340;1,104;712,311,507;1,438;99.2
713000;Delikte im Zusammenhang mit Schwarzarbeitsbekämpfungsgesetz und Arbeitnehmerüberlassungsgesetz;31;31;0;23;0;3;1;1;2;0;0;1;287,518;23;100
713010;Arbeitnehmerüberlassungsgesetz;1;1;0;1;0;0;0;0;0;0;0;0;1;1;100
713030;Schwarzarbeitsbekämpfungsgesetz;30;30;0;22;0;3;1;1;2;0;0;1;287,517;22;100
714000;Straftaten i.V.m. dem Bankgewerbe sowie Wertpapierhandelsgesetz (Güd-Kreditwesen, BörsenG, DepotG, PfandBG, § 35 BundesbankG, ZAG);111;111;0;67;0;0;0;4;2;11;6;21;24,748,566;66;98.5
714010;Bundesbankgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714020;Börsengesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714030;Pfandbriefgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714040;Kreditwesengesetz;42;42;0;25;0;0;0;1;1;3;2;10;22,243,730;25;100
714050;Depotgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714060;Wertpapierhandelsgesetz;31;31;0;18;0;0;0;2;0;4;1;6;1,016,998;18;100
714070;Zahlungsdiensteaufsichtsgesetz;38;38;0;24;0;0;0;1;1;4;3;5;1,487,838;23;95.8
715000;Straftaten im Zusammenhang mit Urheberrechtsbestimmungen (UrheberrechtsG, MarkenG, § 23 Abs. 1, 2 und 4 GeschGehG, DesignG,GebrauchsmusterG, KunsturheberrechtsG, PatentG, HalbleiterschutzG);756;735;21;513;17;64;17;79;12;21;2;10;2,799,005;500;97.5
715010;Markengesetz;464;444;20;300;14;58;14;38;6;8;1;5;1,659,848;289;96.3
715020;Designgesetz;1;1;0;0;0;0;0;0;1;0;0;0;3,580;0;0
715030;Gebrauchsmustergesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
715040;Kunsturheberrechtsgesetz;19;19;0;19;0;0;0;0;0;0;0;0;30;17;89.5
715050;Urheberrechtsgesetz -sonstige Verstöße- (ohne Schl. 715100 u. 715200);184;183;1;161;0;4;2;4;0;6;1;5;1,005,472;161;100
715060;Patentgesetz;2;2;0;2;0;0;0;0;0;0;0;0;2;2;100
715070;Halbleiterschutzgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
715100;Softwarepiraterie (private Anwendung z.B. Computerspiele);22;22;0;19;0;1;0;2;0;0;0;0;1,763;19;100
715200;Softwarepiraterie in Form gewerbsmäßigen Handelns;64;64;0;12;3;1;1;35;5;7;0;0;128,310;12;100
893000;Wirtschaftskriminalität und zwar:;66,014;63,382;2,632;6,549;441;1,648;1,272;37,608;2,380;8,069;1,734;3,681;2,083,463,944;6,372;97.3
893100;Wirtschaftskriminalität bei Betrug;53,693;51,092;2,601;2,232;379;1,366;990;35,982;1,384;5,975;996;1,788;887,120,872;2,101;94.1
893200;Insolvenzstraftaten gemäß StGB und Nebenstrafrecht (Wikri);5,760;5,751;9;2,699;5;46;41;219;174;752;439;1,376;858,964,729;2,684;99.4
893300;Wirtschaftskriminalität im Anlage- und Finanzierungsbereich pp.;3,231;3,107;124;249;2;34;192;329;281;1,071;352;597;244,447,166;246;98.8
893400;Wettbewerbsdelikte (Wikri);756;735;21;513;17;64;17;79;12;21;2;10;2,799,005;500;97.5
893500;Wirtschaftskriminalität im Zusammenhang mit Arbeitsverhältnissen;3,989;3,989;0;340;28;134;205;1,195;744;1,055;160;128;53,359,579;331;97.4
893600;Betrug und Untreue im Zusammenhang mit Beteiligungen und Kapitalanlagen (Wikri);3,084;2,981;103;171;2;33;190;328;286;1,082;351;538;195,469,141;170;99.4
897100;Computerbetrug § 263a StGB;1,118;858;260;78;40;152;79;225;70;176;18;20;7,849,365;64;82.1
